team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff  ws
AtlantaHawks         40   26 16158 2429 5349  492 1330 1025 1385  653 2718 1481  536  875  302 1178  6375  25   0   0  1
BostonCeltics        39   27 15948 2341 5086  363  988 1017 1308  510 2560 1557  498  929  361 1315  6062  34   0   0  1
CharlotteBobcats      7   59 15894 2193 5293  263  892 1090 1462  677 2571 1326  397  898  361 1249  5739  25   0   0  0
ChicagoBulls         50   16 15953 2467 5461  419 1118 1006 1394  914 3079 1527  456  887  388 1139  6359  16   0   0  1
ClevelandCavaliers   21   45 15966 2261 5360  440 1273 1178 1645  841 2790 1308  466  965  261 1317  6140   3   0   0  0
DallasMavericks      36   30 15834 2398 5412  497 1464 1029 1334  665 2822 1380  566  893  336 1211  6322  25   0   0  1
DenverNuggets        38   28 16040 2572 5404  435 1311 1293 1760  738 2841 1581  540  986  330 1297  6872  19   0   0  1
DetroitPistons       25   41 15991 2291 5232  317  916 1098 1461  775 2657 1232  460  965  278 1293  5997  19   0   0  0
GSWarriors           23   43 15935 2489 5443  524 1351  951 1235  640 2585 1469  529  887  360 1410  6453  14   0   0  0
HoustonRockets       34   32 16078 2489 5543  478 1330 1018 1301  770 2783 1404  497  913  318 1347  6474  12   0   0  1
IndianaPacers        42   24 15996 2354 5373  392 1064 1349 1724  825 2895 1228  524  875  357 1430  6449  25   0   0  1
LAClippers           40   26 15961 2439 5366  514 1441 1046 1538  800 2743 1385  556  815  316 1399  6438  51   0   0  1
LALakers             41   25 16073 2429 5319  362 1113 1202 1589  799 3050 1485  390  960  351 1109  6422  40   0   0  1
MemphisGrizzlies     41   25 15955 2425 5421  277  849 1142 1504  831 2774 1290  631  920  345 1316  6269  22   0   0  1
MiamiHeat            46   20 16048 2446 5212  370 1030 1238 1598  686 2745 1317  586  971  355 1282  6500  18   0   0  1
MilwaukeeBucks       31   35 15886 2502 5652  436 1265 1095 1415  820 2803 1549  548  903  335 1273  6535  28   0   0  0
MinnesotaT-wolves    26   40 15966 2355 5434  473 1423 1281 1662  798 2887 1290  436  970  293 1212  6464  12   0   0  0
NJNets               22   44 15901 2262 5318  507 1481 1113 1433  782 2661 1311  493  944  260 1268  6144  19   0   0  0
NOrleansHornets      21   45 15945 2300 5101  259  777 1057 1397  724 2715 1368  488  966  317 1324  5916  18   0   0  0
NYKnicks             36   30 15944 2365 5335  517 1538 1211 1634  743 2755 1328  622 1009  276 1391  6458  39   0   0  1
OrlandoMagic         37   29 15973 2275 5162  670 1785  995 1508  742 2802 1321  452  930  274 1168  6215  37   0   0  1
Philadelphia76ers    35   31 15928 2471 5516  349  963  889 1198  704 2848 1453  526  707  340 1157  6180   9   0   0  1
PhoenixSuns          33   33 15841 2495 5445  444 1295 1058 1397  718 2751 1486  432  892  364 1233  6492  31   0   0  0
PortlandTrailBlazers 28   38 15973 2402 5417  478 1382 1133 1423  735 2684 1349  528  911  322 1251  6415  23   0   0  0
SacramentoKings      22   44 15913 2490 5710  411 1300 1127 1532  883 2830 1271  560  915  323 1287  6518  27   0   0  0
SanAntonioSpurs      50   16 15954 2611 5463  552 1405 1067 1427  683 2836 1528  490  871  293 1143  6841   7   0   0  1
OklahomaCityThunder  47   19 15997 2462 5229  472 1317 1406 1744  726 2883 1224  498 1054  539 1352  6802  46   0   0  1
TorontoRaptors       23   43 15962 2268 5154  365 1076 1085 1410  697 2771 1382  429  957  319 1532  5986  21   0   0  0
UtahJazz             36   30 16177 2523 5531  273  845 1258 1668  861 2916 1439  545  896  385 1441  6577  17   0   0  1
WashingtonWizards    20   46 15864 2414 5474  344 1075 1008 1386  774 2749 1262  527  961  417 1405  6180  23   0   0  0
AtlantaHawks         44   38 19734 2971 6429  502 1427 1346 1728  762 3222 1802  497 1048  341 1554  7790  30   0   0  1
BostonCeltics        56   26 19793 3023 6219  408 1119 1459 1895  639 3181 1922  676 1116  346 1678  7913  47   0   0  1
CharlotteBobcats     34   48 19828 2873 6365  393 1203 1511 1999  848 3292 1728  524 1123  436 1637  7650  44   0   0  0
ChicagoBulls         62   20 19856 3042 6587  511 1415 1492 2008  967 3621 1827  592 1104  468 1639  8087  23   0   0  1
ClevelandCavaliers   19   63 19751 2886 6644  509 1489 1546 2075  856 3303 1720  544 1125  341 1648  7827  26   0   0  1
DallasMavericks      57   25 19703 3069 6464  645 1768 1437 1850  780 3398 1954  557 1107  352 1575  8220  34   0   0  1
DenverNuggets        50   32 19714 3145 6613  662 1705 1859 2429  791 3443 1813  605 1130  353 1719  8811  53   0   0  1
DetroitPistons       30   52 19880 3056 6647  472 1256 1367 1854  931 3167 1730  595 1001  328 1629  7951  34   0   0  0
GSWarriors           36   46 19854 3251 7047  685 1749 1290 1695  955 3325 1847  737 1157  406 1806  8477  21   0   0  0
HoustonRockets       43   39 19896 3170 6975  677 1843 1668 2083  962 3511 1955  581 1048  371 1641  8685  24   0   0  1
IndianaPacers        37   45 19788 3003 6787  585 1653 1592 2035  914 3571 1611  584 1210  457 1782  8183  25   0   0  0
LAClippers           32   50 19865 3015 6594  513 1519 1546 2187  955 3456 1813  585 1273  402 1733  8089  46   0   0  0
LALakers             57   25 19837 3128 6757  524 1487 1541 1979  989 3605 1801  602 1031  422 1555  8321  50   0   0  1
MemphisGrizzlies     46   36 19891 3200 6801  309  926 1486 1981  970 3361 1691  771 1101  441 1705  8195  23   0   0  1
MiamiHeat            58   24 19798 3031 6301  547 1479 1760 2288  790 3456 1639  544 1084  430 1674  8369  46   0   0  1
MilwaukeeBucks       35   47 19846 2814 6544  483 1414 1423 1881  862 3342 1545  617 1026  399 1682  7534  19   0   0  0
MinnesotaT-wolves    17   65 19791 3090 7014  589 1565 1519 1977 1085 3641 1650  592 1356  422 1825  8288  27   0   0  0
NJNets               24   58 20002 2918 6637  459 1337 1427 1881  909 3348 1723  457 1069  386 1807  7722  10   0   0  0
NOrleansHornets      46   36 19830 2944 6416  444 1232 1452 1897  824 3292 1691  624 1001  360 1719  7784  26   0   0  1
NYKnicks             42   40 19788 3140 6867  765 2081 1689 2087  847 3316 1757  625 1094  474 1743  8734  45   0   0  1
OrlandoMagic         52   30 19833 2956 6409  770 2101 1453 2101  863 3541 1636  548 1180  384 1640  8135  45   0   0  1
Philadelphia76ers    41   41 19943 3125 6776  443 1248 1426 1851  850 3428 1861  621 1001  356 1592  8119  14   0   0  0
PhoenixSuns          40   42 20011 3219 6844  701 1857 1472 1939  821 3299 1945  545 1116  358 1666  8611  38   0   0  0
PortlandTrailBlazers 48   34 19827 2951 6599  518 1503 1476 1835  996 3226 1736  660 1018  358 1585  7896  23   0   0  1
SacramentoKings      24   58 19885 3134 6979  428 1277 1455 1981 1071 3596 1675  608 1282  391 1805  8151  38   0   0  0
SanAntonioSpurs      61   21 19789 3148 6628  685 1727 1521 1984  829 3433 1836  602 1054  372 1556  8502  13   0   0  1
OklahomaCityThunder  55   27 20013 3066 6609  487 1404 1977 2401  903 3507 1672  654 1104  487 1836  8596  33   0   0  1
TorontoRaptors       22   60 19791 3144 6755  345 1091 1491 1976  963 3305 1795  581 1152  349 1807  8124  20   0   0  0
UtahJazz             39   43 19881 3064 6589  435 1255 1590 2061  898 3235 1921  629 1112  485 1865  8153  32   0   0  0
WashingtonWizards    23   59 19936 3048 6888  392 1182 1489 1999 1013 3387 1592  665 1209  502 1850  7977  32   0   0  0
AtlantaHawks         53   29 19866 3181 6801  524 1455 1452 1914  969 3420 1789  590  941  413 1631  8338  26   0   0  1
BostonCeltics        50   32 19780 3039 6293  499 1433 1559 2090  716 3166 1931  701 1153  402 1816  8136  54   0   0  1
CharlotteBobcats     44   38 19887 2858 6306  460 1331 1637 2180  858 3348 1658  632 1220  447 1597  7813  32   0   0  1
ChicagoBulls         41   41 19900 3081 6825  352 1066 1479 1962  937 3654 1704  531 1122  477 1648  7993  31   0   0  0
ClevelandCavaliers   61   21 19786 3101 6391  602 1582 1569 2180  792 3484 1835  564 1070  424 1591  8373  32   0   0  1
DallasMavericks      55   27 19878 3140 6760  558 1498 1526 1870  834 3420 1917  624 1015  449 1563  8364  28   0   0  1
DenverNuggets        53   29 19790 3124 6678  544 1517 1937 2508  889 3394 1719  683 1108  419 1844  8729  38   0   0  1
DetroitPistons       27   55 19765 2940 6602  374 1190 1455 1998 1053 3295 1591  596 1038  313 1822  7709  30   0   0  0
GSWarriors           26   56 19721 3329 7094  633 1687 1631 2085  752 3149 1839  761 1171  340 1886  8922  21   0   0  0
HoustonRockets       42   40 19917 3094 6923  646 1838 1561 2022  971 3442 1790  583 1132  318 1712  8395  18   0   0  1
IndianaPacers        32   50 19686 3020 6823  659 1896 1564 2019  785 3403 1730  585 1168  440 1848  8263  20   0   0  0
LAClippers           29   53 19725 3003 6602  483 1457 1362 1866  927 3428 1810  533 1225  468 1581  7851  28   0   0  0
LALakers             57   25 19837 3144 6875  532 1562 1519 1985  973 3635 1731  611 1066  400 1592  8339  45   0   0  1
MemphisGrizzlies     40   42 19906 3223 6875  344 1020 1614 2202 1070 3566 1543  645 1187  399 1656  8404  22   0   0  0
MiamiHeat            47   35 19880 2984 6518  494 1426 1452 1931  875 3428 1548  606 1011  457 1710  7914  28   0   0  1
MilwaukeeBucks       46   36 19992 3050 6997  645 1813 1264 1675  965 3525 1740  580 1041  385 1823  8009  15   0   0  1
MinnesotaT-wolves    15   67 19792 3106 6922  403 1181 1436 1926  960 3517 1626  597 1280  308 1699  8051   9   0   0  0
NJNets               12   70 19789 2813 6552  377 1185 1572 2015  896 3253 1540  571 1108  394 1643  7575   8   0   0  0
NOrleansHornets      37   45 19821 3178 6841  571 1572 1293 1661  851 3301 1829  625 1049  299 1606  8220  13   0   0  0
NYKnicks             29   53 19878 3127 6876  743 2145 1376 1759  836 3312 1772  587 1101  303 1638  8373  11   0   0  0
OrlandoMagic         59   23 19723 3005 6394  841 2241 1575 2176  810 3544 1615  512 1117  455 1629  8426  44   0   0  1
Philadelphia76ers    27   55 19807 3087 6705  474 1382 1366 1808  940 3361 1723  666 1135  439 1677  8014  12   0   0  0
PhoenixSuns          54   28 19728 3339 6789  730 1770 1631 2117  910 3527 1912  479 1157  418 1713  9039  29   0   0  1
PortlandTrailBlazers 50   32 19854 2974 6453  491 1388 1606 2033  913 3296 1674  523  945  348 1715  8045  24   0   0  1
SacramentoKings      25   57 19877 3144 6894  482 1383 1430 1969  977 3494 1679  565 1165  366 1827  8200  21   0   0  0
SanAntonioSpurs      50   32 19781 3150 6659  554 1547 1458 1969  887 3508 1829  515 1062  380 1669  8312  16   0   0  0
OklahomaCityThunder  50   32 19797 3063 6629  418 1229 1778 2210  960 3567 1639  654 1164  481 1743  8322  13   0   0  1
TorontoRaptors       40   42 19778 3199 6631  518 1397 1618 2118  806 3313 1804  469 1057  384 1820  8534  22   0   0  0
UtahJazz             53   29 19760 3227 6575  439 1207 1654 2233  872 3460 2188  675 1196  399 1859  8547  20   0   0  1
WashingtonWizards    26   56 19834 3007 6699  432 1225 1444 1895  966 3424 1557  491 1158  421 1752  7890  20   0   0  0
AtlantaHawks         47   35 19718 2956 6452  597 1633 1537 2085  871 3283 1657  603 1000  375 1611  8046  28   0   0  1
BostonCeltics        62   20 19858 3075 6332  538 1355 1587 2075  869 3455 1862  621 1230  387 1897  8275  46   0   0  1
